"job_id","company_name","job_title","salary_year_avg","job_posted_date","skills_list"
1354909,"GEICO","Technical Business/Data Analyst (REMOTE)","113500.0","2023-03-21 17:16:32","sql,python,db2,azure,oracle,snowflake,hadoop,power bi"
248219,"Square","Data Analyst, Customer Success (Chicago, IL or Remote)","112850.0","2023-09-16 23:01:25","sql,python,go,c,tableau,looker,flow"
236397,"Get It Recruit - Healthcare","Data Analyst","112661.0","2023-07-29 20:00:11","sql,python,tableau"
1728,"Segue Technologies Inc","Data Engineer/Data Analyst","112500.0","2023-05-24 19:08:14","aws,tableau,sql,nosql,sql server,excel"
71065,"Paratus Solutions LLC","Data Analyst Remote / Telecommute Jobs","112500.0","2023-11-21 21:00:05","spss,sql,python,r,sas,javascript,sqlite,excel,tableau,sas"
84928,"Seneca Resources, LLC","Experian Data Analyst Remote / Telecommute Jobs","112500.0","2023-01-03 21:27:28","linux,aws"
185960,"Get It Recruit - Information Technology","Data Analyst","112500.0","2023-12-03 09:00:01","tableau,looker,sql,r,python"
576410,"UL Solutions","Remote Lead Business Data Analyst (Chicago, IL or Remote)","112500.0","2023-05-03 02:02:40","excel,dax"
1006256,"InvestM Technology LLC","Data Analyst","112500.0","2023-01-08 01:03:25","python,tableau,power bi,r,sql"
147455,"Cisco Meraki","Data Analyst (Remote)","112050.0","2023-02-02 07:00:30","oracle,excel,tableau,looker,sap,sql"
958872,"IBM","Data Analyst","111500.0","2023-10-20 16:00:12","python,azure,ibm cloud,tableau,jira,sql"
321727,"CREDITSERVE INC","Data Analyst III","110000.0","2023-10-30 21:00:33","powerpoint,sql,python,excel,tableau,word"
382334,"DNV","Energy Data Analyst","110000.0","2023-08-30 21:00:05","power bi,excel,databricks,azure,javascript,sas,r,python,sql,jira,powerpoint,word,sas"
409831,"Trinity Solar Careers","Data Analyst","110000.0","2023-12-21 08:00:00","power bi,ssis,dax,sql,t-sql,sql server,excel"
412163,"Apex Systems","Medicaid Data Analyst","110000.0","2023-06-26 16:04:19","sql"
446319,"Get It Recruit - Finance","Data Analyst","110000.0","2023-09-10 10:00:17","looker,javascript"
480243,"Cava Connect","Data Analyst - Remote","110000.0","2023-01-06 20:01:36","dax,excel,power bi,ssis,ssrs,sql,python,vba"
894317,"Get It Recruit - Transportation","Data Analyst","110000.0","2023-12-24 10:00:33","sql,python"
991817,"Get It Recruit - Finance","Data Analyst","110000.0","2023-10-23 16:00:17","excel"
1047698,"Insight Global","Data Analyst","110000.0","2023-03-14 16:45:26","aws,sql"
1210470,"Convergenz","Data Analyst","110000.0","2023-09-20 16:03:42","tableau,power bi,sas,sql,r,sas"
1434170,"CREDITSERVE INC","Data Analyst III","110000.0","2023-11-09 00:21:53","python,sql,powerpoint,word,tableau,excel"
1490432,"Get It Recruit - Information Technology","Retail Systems Data Analyst","110000.0","2023-06-09 09:01:47","power bi,sql,excel,flow,alteryx"
1574686,"Insight Global","Data Analyst","110000.0","2023-04-13 20:38:26","aws,t-sql,sql server,sql,ssrs,ssis,power bi,azure"
1592165,"Robert Half","SQL DEVELOPER / DATA ANALYST (Insurance industry Experience) ...","110000.0","2023-01-26 13:03:57","ssis,sql"
1814437,"Get It Recruit - Real Estate","Data Analyst","110000.0","2023-08-18 17:00:55","python,power bi,tableau,sql,r"
991303,"Paradigm","EDI Data Analyst/Business Systems Analyst III  (Great Place to...","109600.0","2023-06-05 14:02:08","sql,python,java,shell,javascript,bash,powershell,sql server,db2,oracle,flow"
65900,"Get It Recruit - Hospitality","Data and Process Modeling Analyst","107500.0","2023-12-30 13:59:59","powerpoint,excel"
255533,"Get It Recruit - Information Technology","IT Data Analyst - Remote | WFH","107500.0","2023-10-06 14:59:57","aws,sql,python,r,html,sql server,azure,excel,tableau,power bi"
600392,"Insight Global","REMOTE PowerBI Data Analyst","107500.0","2023-04-04 17:05:54","sql"
1026200,"Rhino","Data Analyst, Finance and Accounting (Remote)","107500.0","2023-03-24 03:00:00","excel,sql,bigquery"
1119269,"CODING DOJO INC.","Data Analyst","107500.0","2023-08-28 02:01:03","word,powerpoint,outlook,hadoop,tableau,power bi,sas,python,r,sas,excel,sql"
1795029,"Dice","Data Analyst - Remote","107500.0","2023-09-20 09:01:27","sql,python,power bi,sap"
107274,"Cherry Bekaert Advisory, LLC","Data Analyst","106562.5","2023-09-05 17:00:45","sql,python,r,pandas,numpy,scikit-learn,tableau,power bi,alteryx"
55833,"Edward Jones","Data Governance Analyst II - Frameworks, Standards, & Policies","106479.0","2023-08-03 11:02:09","excel,powerpoint,word,vba"
228239,"Edward Jones","Data Analyst II - Firm Analytics","106479.0","2023-11-15 08:02:28","sas,sql,python,r,oracle,snowflake,tableau,sas,spss"
617583,"Edward Jones","Data Analyst II - Firm Analytics","106479.0","2023-09-04 14:01:59","sql,python,snowflake,tableau,sas,spss,r,sas,oracle"
800017,"Get It Recruit - Information Technology","Data Analyst","106000.0","2023-08-12 09:00:10","sql,excel,tableau,git,snowflake,python"
1454946,"Get It Recruit - Information Technology","Market Research & Data Analyst","106000.0","2023-08-12 10:00:05","looker,tableau,excel,sql"
371104,"Modis","Clinical Data Analyst","105000.0","2023-01-23 22:01:31","sql,azure"
426601,"Syrup","Product Data Analyst","105000.0","2023-06-12 21:00:01","sql,power bi,tableau,hadoop,spark,r,python"
601788,"Get It Recruit - Information Technology","Data Visualization Analyst","105000.0","2023-10-15 08:00:07","tableau,excel,html,power bi"
909000,"EL Education (Formerly Expeditionary Learning)","Associate Director, Data Analysis","105000.0","2023-01-27 16:59:59","tableau,r,word"
936268,"Syndicatebleu","Marketing Data Analyst","105000.0","2023-06-29 19:01:21","excel,sql,javascript,html,looker"
1069248,"Starr And Associates LLC","Data Analyst","105000.0","2023-02-09 15:26:09","python,sql,qlik,tableau,excel,r"
1091932,"Get It Recruit - Healthcare","Healthcare Data Analyst","105000.0","2023-11-24 09:00:39","tableau,sql,python,power bi"
1309967,"CyberCoders","Sr Data Analyst","105000.0","2023-04-23 13:00:14","tableau,sql,oracle,excel"
1344229,"Vista Global Solutions, LLC","Data Analyst","105000.0","2023-10-23 13:52:28","redshift,tableau,qlik,excel,aws,r,python,sql"
748403,"Pitney Bowes","Sales Comp Data Analyst (Remote, U.S.)","104300.0","2023-07-14 06:00:11","go,power bi,tableau,excel"
380744,"Health Plan of San Mateo","Health Information Management Data Analyst III","104106.5","2023-06-06 20:00:52","word,spreadsheet,powerpoint,outlook,sas,excel,sas"
909351,"Get It Recruit - Information Technology","Data Analyst","104000.0","2023-12-04 09:01:13","c++,sql,python,r,javascript,snowflake,excel,tableau,looker,qlik,powerpoint"
1559111,"Get It Recruit - Information Technology","Healthcare Data Analyst","103500.0","2023-12-15 09:01:01","sql"
707689,"Get It Recruit - Information Technology","Epic Chronicles Database Analyst","103000.0","2023-11-23 09:01:46","sql"
1667594,"AIDS Healthcare Foundation","Data Integration Analyst","103000.0","2023-04-17 20:00:52","sql,r,t-sql,sql server,oracle,unix,windows,tableau,ssis,ssrs,python"
1679633,"Get It Recruit - Information Technology","Data Wrangling and Visualization Manager","103000.0","2023-12-27 13:39:49","python,azure,databricks,aws,spark,sql"
523374,"Insight Global","Data Analyst","102500.0","2023-06-06 15:01:10","javascript,sql,tableau"
535535,"Orion Groups","Data Analyst","102500.0","2023-04-05 15:01:31","spark,jenkins,flow,github,jira,confluence,python,bash,gcp,hadoop"
949643,"Get It Recruit - Information Technology","Data Analyst","102500.0","2023-06-25 08:23:34","tableau,power bi,sql"
1277458,"ZipRecruiter","Data Analyst","102250.0","2023-09-20 22:00:41","sql,python"
4420,"Get It Recruit - Information Technology","Senior System/Data Analyst","102000.0","2023-11-04 09:00:13","tableau,redshift,oracle,sql,python,aws"
1378977,"Get It Recruit - Information Technology","Remote Data Analyst III","102000.0","2023-04-15 08:46:46","excel,sql"
1526567,"Get It Recruit - Information Technology","Data Analyst - Healthcare Industry (Remote)","102000.0","2023-04-21 08:00:05","excel,sql"
1440,"Get It Recruit - Information Technology","Data Analyst - Empowering Insights for a Healthier Future","101500.0","2023-07-15 09:01:03","sql,excel"
686507,"Get It Recruit - Information Technology","Data Analyst","101500.0","2023-07-06 09:02:07","r,azure,sql,python"
1234973,"Get It Recruit - Information Technology","Data Analyst","101500.0","2023-07-09 10:00:11","sql,hadoop,tableau,jira,confluence"
136192,"UnitedHealth Group","Healthcare Data Analyst- Hybrid","100400.0","2023-11-27 07:01:02","sas,sas,go"
838504,"Optum","Data Analyst 2 - Remote","100400.0","2023-02-26 01:01:04","github,ssrs,sql server,ssis,c#,sql"
1514995,"UnitedHealth Group","Data analyst remote","100400.0","2023-12-23 23:40:47","python,snowflake,excel,tableau,power bi,alteryx"
1519017,"UnitedHealth Group","Sr Supplemental Data Analyst - Remote","100400.0","2023-02-27 12:01:00","visio,ms access,outlook,powerpoint,word,excel,sql"
262921,"SAIC","Tableau Data Analyst","100000.5","2023-05-05 20:00:02","sql,java,c++,c#,c,sql server,oracle,excel,tableau,qlik,visio"
43545,"InvestM Technology LLC","Data Analyst - Healthcare","100000.0","2023-01-22 14:05:22","python,power bi,tableau,r,sql"
309300,"Scaleai","Business Data Analyst","100000.0","2023-05-15 16:00:39","python,tableau,sql"
